title,author,length
,James Hadley Chase,Length: 7 hrs and 26 mins
,Brian Tracy,Length: 8 hrs and 3 mins
,OSHO,Length: 13 hrs and 54 mins
,Paramahansa Yogananda,Length: 23 hrs and 46 mins
,Alfie Kohn,Length: 8 hrs and 41 mins
,"Cheryl Simone,Jaggi Vasudev (Sadhguru)",Length: 6 hrs and 54 mins
,Jeffrey Archer,Length: 11 hrs and 39 mins
,Christopher C. Doyle,Length: 11 hrs and 4 mins
,"George Orwell,Joe White - adaptation",Length: 3 hrs and 27 mins
,Kalki,Length: 61 hrs and 52 mins
,OSHO,Length: 1 hr and 18 mins
,Stella Rhys,Length: 8 hrs and 47 mins
,Ken Cuperus,Length: 3 hrs and 56 mins
,Jitendra Chouksey,Length: 6 hrs and 50 mins
,"Bernard Marr,Matt Ward - contributor",Length: 7 hrs and 2 mins
,Robert Greene,Length: 27 hrs and 30 mins
,Tal Ben-Shahar,Length: 4 hrs and 6 mins
,Osho,Length: 15 hrs and 40 mins
,Oscar Wilde,Length: 11 hrs and 58 mins
,Nassim Nicholas Taleb,Length: 1 hr and 41 mins
,Eknath Easwaran,Length: 8 hrs and 54 mins
,Frederick Forsyth,Length: 13 hrs and 39 mins
,Kevin Missal,Length: 6 hrs and 48 mins
,Brianna Wiest,Length: 10 hrs and 45 mins
,J.K. Rowling,Length: 29 hrs and 1 min
,Michaela Chung,Length: 6 hrs and 39 mins
,Adharanand Finn,Length: 10 hrs and 26 mins
,Harvard Business Review,Length: 4 hrs and 8 mins
,Audrey Niffenegger,Length: 17 hrs and 38 mins
,Idil Ahmed,Length: 12 hrs and 6 mins
,Lewis Carroll,Length: 2 hrs and 44 mins
,Tom Clancy,Length: 33 hrs and 57 mins
,Vladislav M. Zubok,Length: 23 hrs and 50 mins
,Bram Stoker,Length: 15 hrs and 27 mins
,Ernest Bramah,Length: 11 hrs and 11 mins
,Rick Riordan,Length: 11 hrs
,Pranay,Length: 3 hrs and 12 mins
,Charles Dickens,Length: 36 hrs and 30 mins
,James Clear,Length: 5 hrs and 35 mins
,Frederick Forsyth,Length: 10 hrs and 44 mins
,Bhante Henepola Gunaratana,Length: 6 hrs and 12 mins
,Rolf Dobelli,Length: 14 hrs and 26 mins
,Ladybird,Length: 59 mins
,Dr. Joe Dispenza,Length: 58 mins
,Surender Mohan Pathak,Length: 5 hrs and 25 mins
,Kevin Missal,Length: 12 hrs and 1 min
,"Harvard Business Review,Alex Blau,Andrew Burt,Boris Groysberg",Length: 2 hrs and 56 mins
,Santosh Nair,Length: 11 hrs and 8 mins
,Deepak Chopra MD,Length: 20 hrs and 41 mins
,"Thubten Chodron,His Holiness the Dalai Lama - foreword",Length: 4 hrs and 43 mins
,Naomi Novik,Length: 13 hrs and 27 mins
,Dr. David Frawley,Length: 9 hrs and 43 mins
,Nathuram Godse,Length: 6 hrs and 31 mins
,Michael Howard,Length: 4 hrs and 4 mins
,Kumar K. Logesh,Length: 30 mins
,Nidhi Upadhyay,Length: 7 hrs and 46 mins
,Derek Prince,Length: 6 hrs and 43 mins
,Gautam Chintamani,Length: 9 hrs and 7 mins
,Surender Mohan Pathak,Length: 4 hrs and 15 mins
,Gabrielle Bernstein,Length: 3 hrs and 32 mins
,Rainshine Entertainment Private Limited,Length: 38 mins
